index,Order ID,Cust ID,Gender,Age,Date,month,Status,Channel,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
1,OD-2025-06333,CUST-31606,Women,23,07-02-2025,Feb,Delivered,Myntra,SKU-5387,Kurta,S,1,INR,3578.7,Jaipur,Rajasthan,905771,India,TRUE
2,OD-2025-02904,CUST-18180,Women,59,13-07-2025,Jul,Delivered,Amazon,SKU-8847,Blouse,XS,1,INR,871.26,Chennai,Tamil Nadu,905772,India,TRUE
3,OD-2025-05699,CUST-28617,Women,55,28-05-2025,May,Delivered,Amazon,SKU-2051,Kurta,XL,1,INR,904.28,Bengaluru,Karnataka,905773,India,FALSE
4,OD-2025-00809,CUST-83509,Men,42,14-03-2025,Mar,Delivered,Flipkart,SKU-4983,Kurta,L,1,INR,2868.55,Bengaluru,Karnataka,905774,India,FALSE
5,OD-2025-00489,CUST-64017,Men,31,22-06-2025,Jun,Delivered,Myntra,SKU-7296,Blouse,L,1,INR,2381.01,Lucknow,Uttar Pradesh,905775,India,FALSE
6,OD-2025-05354,CUST-56840,Men,24,05-10-2025,Oct,Cancelled,Flipkart,SKU-1822,Ethnic Dress,XS,1,INR,4824.55,Mumbai,Maharashtra,905776,India,FALSE
7,OD-2025-08673,CUST-62377,Women,64,07-01-2025,Jan,Delivered,Meesho,SKU-5304,Ethnic Dress,XL,1,INR,2968.62,Hyderabad,Telangana,905777,India,TRUE
8,OD-2025-09638,CUST-99666,Women,47,21-05-2025,May,Delivered,Meesho,SKU-3178,Top,S,2,INR,4628.94,Hyderabad,Telangana,905778,India,FALSE
9,OD-2025-02649,CUST-49435,Men,59,11-10-2025,Oct,Delivered,Myntra,SKU-8824,Kurta,L,3,INR,2981.19,Jaipur,Rajasthan,905779,India,TRUE
10,OD-2025-07232,CUST-77568,Women,23,12-02-2025,Feb,Delivered,Amazon,SKU-4076,Kurta,L,1,INR,1020.18,Bengaluru,Karnataka,905780,India,FALSE
11,OD-2025-02480,CUST-19773,Men,45,27-05-2025,May,Delivered,Ajio,SKU-1607,Ethnic Dress,M,1,INR,2243.43,Kolkata,West Bengal,905781,India,FALSE
12,OD-2025-04059,CUST-50902,Women,41,01-08-2025,Aug,Delivered,Nykaa,SKU-4795,Blouse,L,2,INR,1747.43,Chennai,Tamil Nadu,905782,India,FALSE
13,OD-2025-06687,CUST-83106,Men,45,04-11-2025,Nov,Delivered,Nykaa,SKU-4463,Saree,S,1,INR,3506.95,Chennai,Tamil Nadu,905783,India,FALSE
14,OD-2025-08905,CUST-48214,Men,22,19-11-2025,Nov,Shipped,Ajio,SKU-8831,Top,S,1,INR,2801.7,Delhi,Delhi,905784,India,FALSE
15,OD-2025-08699,CUST-61973,Men,43,28-04-2025,Apr,Delivered,Flipkart,SKU-2938,Blouse,M,1,INR,4576.33,Delhi,Delhi,905785,India,FALSE
16,OD-2025-00144,CUST-24425,Men,35,29-06-2025,Jun,Delivered,Myntra,SKU-6240,Kurta,S,1,INR,544.01,Hyderabad,Telangana,905786,India,FALSE
17,OD-2025-04944,CUST-31230,Women,44,19-08-2025,Aug,Delivered,Amazon,SKU-2425,Kurta,S,2,INR,1898.4,Hyderabad,Telangana,905787,India,FALSE
18,OD-2025-04191,CUST-34239,Women,28,11-05-2025,May,Delivered,Nykaa,SKU-1770,Western Dress,S,1,INR,1226.42,Delhi,Delhi,905788,India,FALSE
19,OD-2025-06121,CUST-92856,Women,43,17-04-2025,Apr,Shipped,Myntra,SKU-8304,Kurta,XL,2,INR,1901,Hyderabad,Telangana,905789,India,FALSE
20,OD-2025-00228,CUST-12174,Women,29,17-05-2025,May,Delivered,Nykaa,SKU-9698,Saree,M,1,INR,4655.56,Chennai,Tamil Nadu,905790,India,FALSE
21,OD-2025-02423,CUST-33689,Women,51,14-10-2025,Oct,Delivered,Amazon,SKU-5917,Top,M,4,INR,2104.24,Jaipur,Rajasthan,905791,India,FALSE
22,OD-2025-02907,CUST-29605,Women,50,23-04-2025,Apr,Delivered,Nykaa,SKU-9029,Ethnic Dress,XL,1,INR,2503.73,Bengaluru,Karnataka,905792,India,FALSE
23,OD-2025-02712,CUST-23552,Men,31,01-09-2025,Sep,Delivered,Nykaa,SKU-2707,Ethnic Dress,XXL,2,INR,3310.61,Hyderabad,Telangana,905793,India,FALSE
24,OD-2025-02081,CUST-52978,Men,37,23-09-2025,Sep,Delivered,Ajio,SKU-8795,Saree,XXL,1,INR,2735.34,Lucknow,Uttar Pradesh,905794,India,FALSE
25,OD-2025-06943,CUST-59395,Women,43,21-01-2025,Jan,Delivered,Myntra,SKU-4784,Ethnic Dress,XXL,4,INR,4825.33,Mumbai,Maharashtra,905795,India,FALSE
26,OD-2025-09261,CUST-26573,Women,21,24-08-2025,Aug,Delivered,Flipkart,SKU-6266,Top,XS,1,INR,901.05,Kolkata,West Bengal,905796,India,FALSE
27,OD-2025-03382,CUST-44143,Women,24,11-08-2025,Aug,Cancelled,Nykaa,SKU-4833,Blouse,XXL,3,INR,1576.71,Mumbai,Maharashtra,905797,India,FALSE
28,OD-2025-07117,CUST-33375,Women,46,30-06-2025,Jun,Delivered,Myntra,SKU-9868,Ethnic Dress,L,2,INR,3790.19,Bengaluru,Karnataka,905798,India,FALSE
29,OD-2025-06556,CUST-88235,Men,53,11-12-2025,Dec,Cancelled,Meesho,SKU-5339,Saree,XXL,2,INR,2790.99,Pune,Maharashtra,905799,India,FALSE
30,OD-2025-05151,CUST-22998,Women,55,02-04-2025,Apr,Delivered,Ajio,SKU-6995,Western Dress,XL,1,INR,4333.6,Chennai,Tamil Nadu,905800,India,FALSE
31,OD-2025-07399,CUST-92433,Women,37,02-07-2025,Jul,Delivered,Amazon,SKU-2748,Top,S,4,INR,4010.91,Lucknow,Uttar Pradesh,905801,India,FALSE
32,OD-2025-07793,CUST-43754,Men,43,17-05-2025,May,Cancelled,Meesho,SKU-5828,Kurta,M,2,INR,3094.79,Delhi,Delhi,905802,India,FALSE
33,OD-2025-05610,CUST-78683,Women,56,28-09-2025,Sep,Delivered,Myntra,SKU-7694,Blouse,L,1,INR,2337.14,Bengaluru,Karnataka,905803,India,FALSE
34,OD-2025-01067,CUST-11825,Women,24,30-04-2025,Apr,Cancelled,Meesho,SKU-1204,Kurta,XS,3,INR,1939.8,Ahmedabad,Gujarat,905804,India,FALSE
35,OD-2025-06184,CUST-40953,Women,28,08-04-2025,Apr,Delivered,Meesho,SKU-2341,Ethnic Dress,XL,2,INR,4054.37,Jaipur,Rajasthan,905805,India,FALSE
36,OD-2025-08725,CUST-15181,Women,20,29-07-2025,Jul,Delivered,Myntra,SKU-3809,Ethnic Dress,XS,1,INR,3351.99,Delhi,Delhi,905806,India,FALSE
37,OD-2025-05366,CUST-41937,Men,52,09-12-2025,Dec,Delivered,Ajio,SKU-9534,Kurta,S,1,INR,3653.64,Mumbai,Maharashtra,905807,India,FALSE
38,OD-2025-02457,CUST-27801,Men,26,15-01-2025,Jan,Delivered,Myntra,SKU-4517,Western Dress,XL,1,INR,612.45,Ahmedabad,Gujarat,905808,India,FALSE
39,OD-2025-03907,CUST-52630,Women,39,02-03-2025,Mar,Delivered,Myntra,SKU-7453,Ethnic Dress,L,1,INR,2877.97,Pune,Maharashtra,905809,India,FALSE
40,OD-2025-00111,CUST-37494,Men,65,11-04-2025,Apr,Cancelled,Amazon,SKU-6934,Blouse,XL,1,INR,3990.85,Bengaluru,Karnataka,905810,India,FALSE
41,OD-2025-00913,CUST-23292,Women,50,22-11-2025,Nov,Delivered,Amazon,SKU-9745,Blouse,L,3,INR,3091.36,Bengaluru,Karnataka,905811,India,FALSE
