index,Order ID,Cust ID,Gender,Age,Date,Status,Channel,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
1,OD-2025-06333,CUST-31606,Women,23,2025-02-07,Delivered,Myntra,SKU-5387,Blouse,S,1,INR,3578.7,Jaipur,Rajasthan,905771,India,TRUE
2,OD-2025-02904,CUST-18180,Women,59,2025-07-13,Delivered,Amazon,SKU-8847,Kurta,XS,1,INR,871.26,Chennai,Tamil Nadu,733235,India,TRUE
3,OD-2025-05699,CUST-28617,Women,55,2025-05-28,Delivered,Amazon,SKU-2051,Kurta,XL,1,INR,904.28,Bangalore,Karnataka,408799,India,FALSE
4,OD-2025-00809,CUST-83509,M,42,2025-03-14,Delivered,Flipkart,SKU-4983,Blouse,L,1,INR,2868.55,Bangalore,Karnataka,100359,India,FALSE
5,OD-2025-00489,CUST-64017,Men,31,2025-06-22,Delivered,Myntra,SKU-7296,Ethnic Dress,L,1,INR,2381.01,Lucknow,Uttar Pradesh,827679,India,FALSE
6,OD-2025-05354,CUST-56840,Men,24,2025-10-05,Returned,Flipkart,SKU-1822,Ethnic Dress,XS,1,INR,4824.55,Bombay,Maharashtra,458696,India,FALSE
7,OD-2025-08673,CUST-62377,Women,64,2025-01-07,Cancelled,Meesho,SKU-5304,Top,XL,1,INR,2968.62,Hyderabad,Telangana,219372,India,TRUE
8,OD-2025-09638,CUST-99666,Women,47,2025-05-21,Delivered,Meesho,SKU-3178,Kurta,S,2,INR,4628.94,Hyderabad,Telangana,519687,India,FALSE
9,OD-2025-02649,CUST-49435,Men,59,2025-10-11,Delivered,Myntra,SKU-8824,Kurta,L,3,INR,2981.19,Jaipur,Rajasthan,814888,India,TRUE
10,OD-2025-07232,CUST-77568,Women,23,2025-02-12,Delivered,Amazon,SKU-4076,Ethnic Dress,L,1,INR,1020.18,Bangalore,Karnataka,956966,India,FALSE
11,OD-2025-02480,CUST-19773,Men,45,2025-05-27,Returned,Ajio,SKU-1607,Blouse,M,1,INR,2243.43,Kolkata,West Bengal,987536,India,FALSE
12,OD-2025-04059,CUST-50902,Women,41,01-08-2025,Delivered,Nykaa,SKU-4795,Saree,L,2,INR,1747.43,Chennai,Tamil Nadu,174376,India,FALSE
13,OD-2025-06687,CUST-83106,Men,45,2025-11-04,Delivered,Nykaa,SKU-4463,Top,S,1,INR,3506.95,Chennai,Tamil Nadu,487785,India,FALSE
14,OD-2025-08905,CUST-48214,Men,22,2025-11-19,Delivered,Ajio,SKU-8831,Blouse,S,1,INR,2801.7,Delhi,Delhi,629808,India,FALSE
15,OD-2025-08699,CUST-61973,Men,,2025-04-28,Returned,Flipkart,SKU-2938,Kurta,M,1,INR,4576.33,Delhi,Delhi,991832,India,FALSE
16,OD-2025-00144,CUST-24425,Men,35,2025-06-29,Returned,Myntra,SKU-6240,Kurta,S,1,INR,544.01,Hyderabad,Telangana,880931,India,FALSE
17,OD-2025-04944,CUST-31230,Women,44,2025-08-19,Delivered,Amazon,SKU-2425,Western Dress,S,2,INR,1898.4,Hyderabad,Telangana,243434,India,FALSE
18,OD-2025-04191,CUST-34239,Women,28,2025-05-11,Shipped,Nykaa,SKU-1770,Kurta,S,1,INR,1226.42,DELHI,Delhi,979921,India,FALSE
19,OD-2025-06121,CUST-92856,Women,43,2025-04-17,Delivered,Myntra,SKU-8304,Saree,XL,2,INR,1901.0,Hyderabad,Telangana,703854,India,FALSE
